Date,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2010-01-04,104.93745422363281,162.9254150390625,181.3821258544922,661.1604614257812,347.9775085449219,30.912809371948242,281.5200500488281,68.40741729736328,142.88255310058594,319.8376770019531,,297.7499694824219,1046.1771240234375,57.92786407470703,356.7535400390625,77.26693725585938,452.0356140136719,158.2484130859375,,1167.8258056640625,148.84817504882812,216.14727783203125,136.0214385986328,134.37155151367188,257.1407470703125,47.199737548828125,67.08316040039062,87.06700134277344,204.0664825439453,636.2918090820312,262.2778625488281,1416.3077392578125,454.88543701171875,130.87831115722656,131.23011779785156,81.41310119628906,485.8240051269531,,204.50460815429688,1855.359375,141.08302307128906,79.73168182373047,153.14077758789062,468.34326171875,300.9787902832031,217.96371459960938,66.05146026611328,926.856201171875,101.84835052490234,138.39285278320312
2010-01-05,108.55631256103516,163.44003295898438,185.16661071777344,664.2142944335938,348.7519226074219,30.705581665039062,285.978271484375,67.3772201538086,143.0966033935547,314.1051940917969,,297.2839660644531,1078.510498046875,55.9945068359375,368.5397033691406,79.00545501708984,453.5737609863281,158.38758850097656,,1170.8594970703125,159.4996337890625,215.4532012939453,137.3125762939453,134.23045349121094,258.0019836425781,47.37975311279297,67.74433898925781,96.59546661376953,206.08750915527344,637.42041015625,267.1062927246094,1383.8087158203125,,129.43881225585938,133.52877807617188,81.66661071777344,483.65570068359375,,204.58045959472656,1933.4990234375,145.3229522705078,85.91368103027344,150.4724884033203,479.68695068359375,301.058837890625,220.75485229492188,67.40595245361328,946.0438232421875,106.84292602539062,140.5770721435547
2010-01-06,113.9374771118164,162.94813537597656,182.05856323242188,653.9458618164062,340.5232238769531,31.147062301635742,282.94842529296875,66.36279296875,141.79502868652344,326.8020324707031,,305.2730712890625,1106.1729736328125,55.52724075317383,383.79644775390625,76.62145233154297,455.7542724609375,158.4943084716797,,1155.86083984375,155.72154235839844,216.67807006835938,138.36399841308594,137.4286346435547,254.23721313476562,47.3122444152832,67.90300750732422,97.79130554199219,208.59217834472656,630.3668823242188,273.5132141113281,1334.329833984375,,128.81787109375,135.21412658691406,82.24607849121094,491.47039794921875,,205.80775451660156,2003.6029052734375,147.20889282226562,87.25758361816406,150.70408630371094,474.4769592285156,294.2515869140625,221.84149169921875,68.49093627929688,947.1951293945312,104.94440460205078,137.73460388183594
2010-01-07,112.58982849121094,161.2857666015625,183.34750366210938,642.4751586914062,337.8609924316406,30.95785140991211,285.1559143066406,65.07506561279297,141.21270751953125,324.1015319824219,,315.0819091796875,1089.0443115234375,54.75132369995117,375.0392150878906,74.98701477050781,447.2690734863281,158.9071502685547,,1127.09033203125,159.45413208007812,216.2289276123047,137.0574493408203,134.3245086669922,248.52377319335938,46.56970977783203,67.69144439697266,95.70603942871094,210.9356231689453,627.3384399414062,268.30181884765625,1326.7071533203125,,128.84609985351562,135.3577880859375,82.97038269042969,499.6239013671875,,204.65634155273438,2129.722900390625,144.96725463867188,87.56414794921875,145.5527801513672,480.20416259765625,286.06298828125,216.9623260498047,70.19390106201172,938.608642578125,103.95132446289062,135.29112243652344
2010-01-08,112.45789337158203,163.9501495361328,185.74252319335938,631.84423828125,338.8291320800781,31.52097511291504,281.3902282714844,66.17884826660156,141.52529907226562,323.201416015625,,307.114990234375,1093.7615966796875,55.4886589050293,386.6501159667969,73.23804473876953,439.4768981933594,159.1158905029297,,1121.6363525390625,157.7699432373047,217.16802978515625,135.13238525390625,133.85421752929688,242.53466796875,47.364742279052734,67.83690643310547,95.16130828857422,209.63369750976562,631.3073120117188,268.32501220703125,1308.3126220703125,2153.078369140625,130.45492553710938,134.35211181640625,83.18768310546875,498.31390380859375,,204.044921875,2098.90185546875,147.41014099121094,88.00092315673828,146.34954833984375,479.20660400390625,280.2166748046875,222.6724090576172,69.54569244384766,950.0731811523438,103.30876159667969,133.25648498535156
2010-01-11,116.28408813476562,163.67227172851562,191.85806274414062,637.302978515625,340.3296203613281,32.3183479309082,284.766357421875,66.00538635253906,141.4910125732422,324.33843994140625,,305.65032958984375,1099.3031005859375,55.14142990112305,394.4046936035156,73.96678924560547,439.4854431152344,158.47573852539062,,1142.9073486328125,156.3133087158203,217.29046630859375,134.42886352539062,134.0423126220703,245.03948974609375,47.82976150512695,67.86334991455078,97.2551040649414,210.4396514892578,630.9876708984375,269.091064453125,1328.0308837890625,2156.789794921875,131.49923706054688,134.44052124023438,83.58780670166016,488.53424072265625,,202.36245727539062,2148.15869140625,147.38673400878906,88.49650573730469,146.41439819335938,479.2435607910156,285.9827880859375,221.26622009277344,68.98346710205078,951.2725219726562,102.54934692382812,131.9300079345703
2010-01-12,118.02754211425781,167.9443359375,191.83978271484375,650.3386840820312,332.1493835449219,31.102014541625977,278.96624755859375,65.96858978271484,142.69847106933594,321.8275146484375,,303.2980041503906,1107.867431640625,52.753662109375,392.1470031738281,76.59024810791016,432.6482238769531,157.27427673339844,,1121.32958984375,152.8083038330078,214.06504821777344,130.3081512451172,131.6436309814453,254.6161651611328,47.69476318359375,66.13106536865234,96.00818634033203,204.10362243652344,631.72119140625,276.75152587890625,1315.478759765625,2160.15625,129.4952850341797,131.6168975830078,82.38744354248047,489.82171630859375,,196.65000915527344,2065.150390625,147.1153106689453,86.47222900390625,145.7010040283203,462.2833251953125,300.338134765625,222.76834106445312,68.80690002441406,944.6046752929688,98.66468048095703,138.39285278320312
2010-01-13,122.4851303100586,169.26513671875,190.1943359375,651.8274536132812,328.6158142089844,29.462223052978516,275.6333923339844,66.20513153076172,142.1803741455078,323.9120788574219,,309.1122741699219,1125.0421142578125,52.102073669433594,397.0620422363281,78.69316864013672,429.9861145019531,156.72689819335938,,1108.3758544921875,155.8125762939453,214.35081481933594,129.98350524902344,129.05690002441406,264.11895751953125,48.55730056762695,65.84013366699219,97.16146087646484,201.61141967773438,629.4453735351562,267.7911071777344,1304.2957763671875,2148.50439453125,129.4952850341797,132.09762573242188,83.6241683959961,491.7415466308594,,194.21331787109375,2086.091064453125,144.8689727783203,87.6019515991211,145.4508514404297,472.4077453613281,315.7543640136719,231.6210479736328,68.27252960205078,990.4630737304688,100.47557067871094,142.7413330078125
2010-01-14,120.47782135009766,171.40118408203125,194.9112548828125,652.4381103515625,329.2935485839844,30.250579833984375,275.33038330078125,65.78465270996094,143.88442993164062,322.9171447753906,,307.8917541503906,1133.1483154296875,52.12350082397461,398.555419921875,77.0586929321289,426.7830810546875,156.2166290283203,,1105.3419189453125,155.53948974609375,209.08389282226562,129.15621948242188,129.43312072753906,264.73406982421875,48.87981033325195,65.62857055664062,100.61283111572266,204.43844604492188,627.6395263671875,271.98114013671875,1291.6065673828125,2216.55859375,130.39849853515625,136.12588500976562,85.3701400756836,506.6934509277344,,192.55760192871094,2135.25341796875,145.96408081054688,87.29118347167969,144.93202209472656,478.6523132324219,312.2706298828125,230.41725158691406,70.50289154052734,1001.5918579101562,98.78150939941406,147.82781982421875
2010-01-15,122.33435821533203,170.5130615234375,197.05030822753906,659.1946411132812,332.5849609375,30.54340362548828,274.7677001953125,64.89636993408203,145.0361785888672,331.8238830566406,,305.8056640625,1126.59912109375,53.881099700927734,399.2846374511719,76.91295623779297,426.199951171875,157.17686462402344,,1108.10302734375,151.6703338623047,209.36968994140625,130.2617645263672,133.33682250976562,263.361083984375,48.65480422973633,66.84514617919922,100.42134857177734,203.81846618652344,621.1688842773438,268.62677001953125,1290.32861328125,2169.34765625,131.10409545898438,133.7000732421875,86.31587219238281,501.74700927734375,,191.30804443359375,2099.327392578125,142.74435424804688,87.23239135742188,147.72076416015625,476.76788330078125,316.89556884765625,242.28497314453125,70.42623138427734,994.8282470703125,97.40873718261719,146.79055786132812
